date,platform,locale,campaign_type,media_source,ad_show_id_final,ad_show_title_final,ad_show_language_final,genre,sub_team,total_cost_dollars,refresh_date
2/5/2026,ios,USA,Scaling,Tik Tok,abe921d7b916026cf57e327ac4946115baf36880,Weakest Beast Tamer,english,Fantasy,Growth,1990.06290907665,3/5/2026
2/3/2026,android,USA,Scaling,Google,b7fc44c5efcd7431bb98e34a29b3b10e044a57fe,The Royal Accident,english,Drama/Romance,Growth,1975.93367659426,3/5/2026
2/25/2026,android,USA,Scaling,Facebook,6608ee0d6404d7ded95464fc1443f2163a1ad298,Wolves of Blood Moon ,english,Romantasy,Channel,68.1427708970078,3/5/2026
2/26/2026,android,USA,Scaling,Google,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,7460.64560244675,3/5/2026
2/11/2026,android,USA,Scaling,Google,b7fc44c5efcd7431bb98e34a29b3b10e044a57fe,The Royal Accident,english,Drama/Romance,Growth,3225.37733910257,3/5/2026
2/8/2026,android,USA,Scaling,Google,b7fc44c5efcd7431bb98e34a29b3b10e044a57fe,The Royal Accident,english,Drama/Romance,Growth,4104.79454989773,3/5/2026
2/12/2026,android,USA,Scaling,Google,2a2e01dfab3207bac1d5cacfd8463ef07f52d13f,Shadow Slave,english,Fantasy,Growth,1369.19413080603,3/5/2026
2/15/2026,ios,USA,Scaling,Facebook,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,Growth,5587.78770602567,3/5/2026
2/17/2026,android,USA,Scaling,Affiliates,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,NA,176.275704652865,3/5/2026
2/3/2026,android,USA,Scaling,Facebook,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,Growth,3433.14926613756,3/5/2026
2/12/2026,android,USA,Scaling,Google,bb2e5a5d07f1a91073fc44ee882bb2040c03aef1,The Godfather's Son,english,Drama/Romance,Growth,2561.2872967383,3/5/2026
2/21/2026,android,USA,Testing,Facebook,abe921d7b916026cf57e327ac4946115baf36880,Weakest Beast Tamer,english,Fantasy,Growth,1790.87376720282,3/5/2026
2/23/2026,android,USA,Scaling,Affiliates,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,NA,72.2890472057784,3/5/2026
2/27/2026,android,USA,Testing,Facebook,abe921d7b916026cf57e327ac4946115baf36880,Weakest Beast Tamer,english,Fantasy,Growth,1762.08223597024,3/5/2026
2/9/2026,ios,USA,Scaling,Facebook,6a4577fe1d55a456874f42106439427b5f9e2f49,First Legendary Beast Master,english,Fantasy,Growth,6447.43618874516,3/5/2026
2/19/2026,ios,USA,Scaling,Tik Tok,abe921d7b916026cf57e327ac4946115baf36880,Weakest Beast Tamer,english,Fantasy,Growth,2507.71883688962,3/5/2026
2/14/2026,ios,USA,Scaling,Tik Tok,abe921d7b916026cf57e327ac4946115baf36880,Weakest Beast Tamer,english,Fantasy,Growth,1982.44281222725,3/5/2026
2/12/2026,android,USA,Scaling,Facebook,6608ee0d6404d7ded95464fc1443f2163a1ad298,Wolves of Blood Moon ,english,Romantasy,Growth,3532.71078346921,3/5/2026
2/18/2026,android,USA,Scaling,Google,bb2e5a5d07f1a91073fc44ee882bb2040c03aef1,The Godfather's Son,english,Drama/Romance,Growth,2826.7822083653,3/5/2026
2/14/2026,android,USA,Testing,Tik Tok,6a4577fe1d55a456874f42106439427b5f9e2f49,First Legendary Beast Master,english,Fantasy,Growth,126.591454673509,3/5/2026
2/11/2026,android,USA,Scaling,Tik Tok,234ed47144507d63e9a903acfe37512c24bc9290,Twists of Love & Revenge,english,Drama/Romance,Growth,626.056713572253,3/5/2026
2/17/2026,android,USA,Scaling,Google,bb2e5a5d07f1a91073fc44ee882bb2040c03aef1,The Godfather's Son,english,Drama/Romance,Growth,1987.66363910869,3/5/2026
2/19/2026,android,USA,Testing,Facebook,abe921d7b916026cf57e327ac4946115baf36880,Weakest Beast Tamer,english,Fantasy,Growth,1741.5003581899,3/5/2026
2/11/2026,android,USA,Scaling,Facebook,6608ee0d6404d7ded95464fc1443f2163a1ad298,Wolves of Blood Moon ,english,Romantasy,Growth,4202.17612496506,3/5/2026
2/22/2026,android,USA,Scaling,Google,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,8630.92931837757,3/5/2026
2/23/2026,android,USA,Scaling,Google,bb2e5a5d07f1a91073fc44ee882bb2040c03aef1,The Godfather's Son,english,Drama/Romance,Growth,3473.65515085012,3/5/2026
2/7/2026,android,USA,Scaling,Google,cd532605283eb73524e7a93c4f887f670a980c19,The Duke's Masked Bride,english,Drama/Romance,Growth,6137.02784352881,3/5/2026
2/27/2026,android,USA,Scaling,Google,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,7115.35055085803,3/5/2026
2/9/2026,android,USA,Scaling,Google,2a2e01dfab3207bac1d5cacfd8463ef07f52d13f,Shadow Slave,english,Fantasy,Growth,1535.83395422514,3/5/2026
2/22/2026,android,USA,Scaling,Affiliates,b7fc44c5efcd7431bb98e34a29b3b10e044a57fe,The Royal Accident,english,Drama/Romance,NA,5.6915170099838,3/5/2026
2/4/2026,android,USA,Scaling,Tik Tok,2a2e01dfab3207bac1d5cacfd8463ef07f52d13f,Shadow Slave,english,Fantasy,Growth,99.8660837883378,3/5/2026
2/10/2026,android,USA,Scaling,Google,bb2e5a5d07f1a91073fc44ee882bb2040c03aef1,The Godfather's Son,english,Drama/Romance,Growth,2189.70826847079,3/5/2026
2/16/2026,android,USA,Scaling,Google,b7fc44c5efcd7431bb98e34a29b3b10e044a57fe,The Royal Accident,english,Drama/Romance,Growth,3778.63021275146,3/5/2026
2/4/2026,android,USA,Testing,Facebook,234ed47144507d63e9a903acfe37512c24bc9290,Twists of Love & Revenge,english,Drama/Romance,Script Cracking,46.3515539343865,3/5/2026
2/13/2026,android,USA,Scaling,Tik Tok,234ed47144507d63e9a903acfe37512c24bc9290,Twists of Love & Revenge,english,Drama/Romance,Growth,115.351328909812,3/5/2026
2/15/2026,android,USA,Scaling,Google,bb2e5a5d07f1a91073fc44ee882bb2040c03aef1,The Godfather's Son,english,Drama/Romance,Growth,2853.24794720965,3/5/2026
2/20/2026,android,USA,Scaling,Google,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,8307.42206061205,3/5/2026
2/23/2026,android,USA,Testing,Facebook,Others,Others,,,UGC,51.7560715130736,3/5/2026
3/4/2026,android,USA,Scaling,Google,bb2e5a5d07f1a91073fc44ee882bb2040c03aef1,The Godfather's Son,english,Drama/Romance,Growth,1912.67135440827,3/5/2026
2/3/2026,android,USA,Scaling,Tik Tok,2a2e01dfab3207bac1d5cacfd8463ef07f52d13f,Shadow Slave,english,Fantasy,Growth,100.034025193775,3/5/2026
2/20/2026,android,USA,Scaling,Affiliates,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,NA,131.37465605444,3/5/2026
2/8/2026,android,USA,Scaling,Facebook,6608ee0d6404d7ded95464fc1443f2163a1ad298,Wolves of Blood Moon ,english,Romantasy,Growth,4659.27744252011,3/5/2026
2/15/2026,android,USA,Scaling,Affiliates,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,NA,1.31757802100779,3/5/2026
2/8/2026,android,USA,Scaling,Google,cd532605283eb73524e7a93c4f887f670a980c19,The Duke's Masked Bride,english,Drama/Romance,Growth,10615.3482802608,3/5/2026
2/20/2026,android,USA,Scaling,Google,cd532605283eb73524e7a93c4f887f670a980c19,The Duke's Masked Bride,english,Drama/Romance,Growth,5947.53212657306,3/5/2026
3/4/2026,android,USA,Scaling,Tik Tok,8c1419efe6cf2e79cd6fde405e858445721a0b96,My Vampire System,english,Fantasy,Growth,425.766668034684,3/5/2026
3/3/2026,ios,USA,Scaling,Tik Tok,abe921d7b916026cf57e327ac4946115baf36880,Weakest Beast Tamer,english,Fantasy,Growth,1642.97547361489,3/5/2026
2/23/2026,ios,USA,Scaling,Tik Tok,abe921d7b916026cf57e327ac4946115baf36880,Weakest Beast Tamer,english,Fantasy,Growth,2510.90661871223,3/5/2026
3/3/2026,android,USA,Scaling,Facebook,6608ee0d6404d7ded95464fc1443f2163a1ad298,Wolves of Blood Moon ,english,Romantasy,Channel,66.7830736510946,3/5/2026
2/5/2026,android,USA,Scaling,Facebook,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,Growth,3447.90217984512,3/5/2026
2/4/2026,android,USA,Scaling,Facebook,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,Growth,3414.93235455675,3/5/2026
2/13/2026,android,USA,Scaling,Google,bb2e5a5d07f1a91073fc44ee882bb2040c03aef1,The Godfather's Son,english,Drama/Romance,Growth,2817.14077176854,3/5/2026
2/10/2026,android,USA,Scaling,Tik Tok,234ed47144507d63e9a903acfe37512c24bc9290,Twists of Love & Revenge,english,Drama/Romance,Growth,624.091618666181,3/5/2026
2/17/2026,android,USA,Scaling,Google,cd532605283eb73524e7a93c4f887f670a980c19,The Duke's Masked Bride,english,Drama/Romance,Growth,9821.92090041904,3/5/2026
2/28/2026,android,USA,Scaling,Google,bb2e5a5d07f1a91073fc44ee882bb2040c03aef1,The Godfather's Son,english,Drama/Romance,Growth,3532.49293971348,3/5/2026
2/27/2026,ios,USA,Scaling,Tik Tok,abe921d7b916026cf57e327ac4946115baf36880,Weakest Beast Tamer,english,Fantasy,Growth,2492.62631335388,3/5/2026
2/16/2026,android,USA,Scaling,Google,bb2e5a5d07f1a91073fc44ee882bb2040c03aef1,The Godfather's Son,english,Drama/Romance,Growth,2599.569011183,3/5/2026
2/9/2026,android,USA,Scaling,Google,b7fc44c5efcd7431bb98e34a29b3b10e044a57fe,The Royal Accident,english,Drama/Romance,Growth,4259.46823080143,3/5/2026
2/12/2026,android,USA,Scaling,Tik Tok,2a2e01dfab3207bac1d5cacfd8463ef07f52d13f,Shadow Slave,english,Fantasy,Growth,99.3171568977371,3/5/2026
2/10/2026,android,USA,Scaling,Google,cd532605283eb73524e7a93c4f887f670a980c19,The Duke's Masked Bride,english,Drama/Romance,Growth,8402.44992903506,3/5/2026
2/8/2026,android,USA,Scaling,Tik Tok,2a2e01dfab3207bac1d5cacfd8463ef07f52d13f,Shadow Slave,english,Fantasy,Growth,109.845690150231,3/5/2026
2/16/2026,android,USA,Scaling,Affiliates,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,NA,58.4134452445973,3/5/2026
2/19/2026,android,USA,Scaling,Affiliates,b7fc44c5efcd7431bb98e34a29b3b10e044a57fe,The Royal Accident,english,Drama/Romance,NA,3.02427892219631,3/5/2026
3/4/2026,ios,USA,Scaling,Tik Tok,abe921d7b916026cf57e327ac4946115baf36880,Weakest Beast Tamer,english,Fantasy,Growth,1485.29010595506,3/5/2026
2/26/2026,android,USA,Scaling,Facebook,6608ee0d6404d7ded95464fc1443f2163a1ad298,Wolves of Blood Moon ,english,Romantasy,Channel,32.5097388925795,3/5/2026
2/8/2026,android,USA,Scaling,Google,2a2e01dfab3207bac1d5cacfd8463ef07f52d13f,Shadow Slave,english,Fantasy,Growth,1250.68913726546,3/5/2026
2/25/2026,android,USA,Scaling,Google,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,7553.86067810177,3/5/2026
2/5/2026,android,USA,Testing,Facebook,234ed47144507d63e9a903acfe37512c24bc9290,Twists of Love & Revenge,english,Drama/Romance,Script Cracking,636.224447029076,3/5/2026
2/13/2026,android,USA,Scaling,Affiliates,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,NA,1.24857302685452,3/5/2026
2/5/2026,android,USA,Scaling,Google,b7fc44c5efcd7431bb98e34a29b3b10e044a57fe,The Royal Accident,english,Drama/Romance,Growth,3591.92210796069,3/5/2026
2/3/2026,android,USA,Scaling,Google,2a2e01dfab3207bac1d5cacfd8463ef07f52d13f,Shadow Slave,english,Fantasy,Growth,612.761366351951,3/5/2026
2/19/2026,android,USA,Scaling,Google,bb2e5a5d07f1a91073fc44ee882bb2040c03aef1,The Godfather's Son,english,Drama/Romance,Growth,3708.29557964489,3/5/2026
2/12/2026,android,USA,Scaling,Google,cd532605283eb73524e7a93c4f887f670a980c19,The Duke's Masked Bride,english,Drama/Romance,Growth,12107.810008058,3/5/2026
2/2/2026,ios,USA,Scaling,Tik Tok,abe921d7b916026cf57e327ac4946115baf36880,Weakest Beast Tamer,english,Fantasy,Growth,1980.55545248208,3/5/2026
2/18/2026,android,USA,Testing,Facebook,6a4577fe1d55a456874f42106439427b5f9e2f49,First Legendary Beast Master,english,Fantasy,Script Cracking,55.325742049522,3/5/2026
2/18/2026,android,USA,Testing,Tik Tok,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,124.999338847567,3/5/2026
2/26/2026,android,USA,Scaling,Google,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,Growth,4886.99961800832,3/5/2026
2/4/2026,ios,USA,Scaling,Tik Tok,abe921d7b916026cf57e327ac4946115baf36880,Weakest Beast Tamer,english,Fantasy,Growth,1999.37154713357,3/5/2026
2/9/2026,ios,USA,Scaling,Google,2a2e01dfab3207bac1d5cacfd8463ef07f52d13f,Shadow Slave,english,Fantasy,Growth,1234.55861880335,3/5/2026
2/1/2026,ios,USA,Scaling,Tik Tok,abe921d7b916026cf57e327ac4946115baf36880,Weakest Beast Tamer,english,Fantasy,Growth,2007.37734354436,3/5/2026
2/16/2026,android,USA,Testing,Facebook,Others,Others,english,,Commissioning,199.198956687009,3/5/2026
2/20/2026,android,USA,Scaling,Tik Tok,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,996.172429673954,3/5/2026
2/28/2026,android,USA,Scaling,Google,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,Growth,5386.08589715495,3/5/2026
2/22/2026,android,USA,Scaling,Google,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,Growth,10165.2160462032,3/5/2026
2/20/2026,android,USA,Scaling,Google,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,Growth,4291.44647132735,3/5/2026
3/4/2026,android,USA,Scaling,Tik Tok,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,732.242529191638,3/5/2026
2/12/2026,ios,USA,Scaling,Google,2a2e01dfab3207bac1d5cacfd8463ef07f52d13f,Shadow Slave,english,Fantasy,Growth,1150.12844381115,3/5/2026
2/26/2026,android,USA,Testing,Tik Tok,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,0.780802714687927,3/5/2026
3/4/2026,android,USA,Scaling,Google,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,Growth,3702.82261738164,3/5/2026
2/17/2026,android,USA,Testing,Tik Tok,abe921d7b916026cf57e327ac4946115baf36880,Weakest Beast Tamer,english,Fantasy,Growth,18.0713760689831,3/5/2026
2/20/2026,android,USA,Testing,Tik Tok,6a4577fe1d55a456874f42106439427b5f9e2f49,First Legendary Beast Master,english,Fantasy,Growth,167.577708162765,3/5/2026
2/25/2026,android,USA,Scaling,Google,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,Growth,6675.57602570608,3/5/2026
